Name,Rating,Reviews,Price,Category,Address,Hours,Services,URL
Anuj cafe,4.1,265,N/A,Coffee shop,"Shop No 113, Radha Nagar Main Rd",Open · Closes 11:30 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Anuj+cafe/data=!4m7!3m6!1s0x3a525f89984e5b3f:0x96c96efb503ae04b!8m2!3d12.9504833!4d80.1514297!16s%2Fg%2F11px8fkcwl!19sChIJP1tOmIlfUjoRS-A6UPtuyZY?authuser=0&hl=en&rclk=1
Parugu Cafe Chrompet,4.7,187,N/A,Cafe,N/A,Open 24 hours,"Dine-in, Drive-through, No delivery",https://www.google.com/maps/place/Parugu+Cafe+Chrompet/data=!4m7!3m6!1s0x3a525f58e2028417:0xd341c7827b90f788!8m2!3d12.9517172!4d80.1417471!16s%2Fg%2F11x95tdx6q!19sChIJF4QC4lhfUjoRiPeQe4LHQdM?authuser=0&hl=en&rclk=1
Kumbakonam Ayngaran Coffee,4.6,47,N/A,Coffee shop,N/A,Closes soon · 8:30 pm · Opens 8 am Wed,Takeaway,https://www.google.com/maps/place/Kumbakonam+Ayngaran+Coffee/data=!4m7!3m6!1s0x3a525f102b7a3185:0xae21393ba00dc2d8!8m2!3d12.9523072!4d80.1370485!16s%2Fg%2F11lfq5xcg_!19sChIJhTF6KxBfUjoR2MINoDs5Ia4?authuser=0&hl=en&rclk=1
Belgian Cafe Chrompet,4.3,234,N/A,Cafe,"Door No: 14, No:14/57, CLC Works Rd",Open · Closes 11 pm,"Dine-in, Takeaway, Delivery",https://www.google.com/maps/place/Belgian+Cafe+Chrompet/data=!4m7!3m6!1s0x3a525f0d38af4129:0xf720c2f5517cdced!8m2!3d12.9531329!4d80.140058!16s%2Fg%2F11nxcf649q!19sChIJKUGvOA1fUjoR7dx8UfXCIPc?authuser=0&hl=en&rclk=1
Relax Cafe,4.4,42,N/A,Cafe,N/A,N/A,"Dine-in, Drive-through",https://www.google.com/maps/place/Relax+Cafe/data=!4m7!3m6!1s0x3a525fab1be5586f:0x43376353bb2b721c!8m2!3d12.9533129!4d80.1394254!16s%2Fg%2F11khx1k59s!19sChIJb1jlG6tfUjoRHHIru1NjN0M?authuser=0&hl=en&rclk=1
Relax Cafe,4.2,681,N/A,Coffee shop,N/A,Open · Closes 11:15 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Relax+Cafe/data=!4m7!3m6!1s0x3a525fe1d2dfa807:0xbe7a57512fccc7e0!8m2!3d12.9579464!4d80.1278216!16s%2Fg%2F11q493f7cp!19sChIJB6jf0uFfUjoR4MfML1FXer4?authuser=0&hl=en&rclk=1
Rio Cafe,4.2,382,N/A,Coffee shop,N/A,Open · Closes 11 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Rio+Cafe/data=!4m7!3m6!1s0x3a525e4cec0033cd:0xbbd9da6762dc60ac!8m2!3d12.9556262!4d80.1443893!16s%2Fg%2F11hbgf3rsp!19sChIJzTMA7ExeUjoRrGDcYmfa2bs?authuser=0&hl=en&rclk=1
Madrasi Cafe,4.0,252,N/A,Cafe,N/A,Open · Closes 10 pm,"Dine-in, Takeaway, Delivery",https://www.google.com/maps/place/Madrasi+Cafe/data=!4m7!3m6!1s0x3a525f0567b8ec2b:0xece12b3df456685f!8m2!3d12.9545848!4d80.1565273!16s%2Fg%2F11kpd2713f!19sChIJK-y4ZwVfUjoRX2hW9D0r4ew?authuser=0&hl=en&rclk=1
Chrompet Cafe,4.7,195,N/A,Cafe,"224, 18, Radha Nagar Main Rd",Open · Closes 10 pm,"Dine-in, Takeaway",https://www.google.com/maps/place/Chrompet+Cafe/data=!4m7!3m6!1s0x3a525fabaec238d7:0x9a8b3ce2c394f324!8m2!3d12.9525515!4d80.1426514!16s%2Fg%2F11k6684x3m!19sChIJ1zjCrqtfUjoRJPOUw-I8i5o?authuser=0&hl=en&rclk=1
Chai Pattinam,4.4,423,N/A,Coffee shop,"Bus Stop, 200, Grand Southern Trunk Rd, next to Central Bank of India",Open · Closes 10 pm,"Dine-in, Takeaway, Delivery",https://www.google.com/maps/place/Chai+Pattinam/data=!4m7!3m6!1s0x3a525f121957834b:0x13aee9a2d4d1c190!8m2!3d12.9517867!4d80.1400356!16s%2Fg%2F11mvtwmm2c!19sChIJS4NXGRJfUjoRkMHR1KLprhM?authuser=0&hl=en&rclk=1
